Folio,Topic Heading,Source (original),Text (original),Source (standardized),Text (standardized),Citation,STC number,Notes
14-2r,feare Shame,,"Hee that is once past ye apprehen=
=sion of Shame lets loose the Reines 
of his owne will, and abandons 
himselfe to all maner of mischeefe",,"He therefore that is once past this apprehension, lets loose the reines of his owne will, and abandons himselfe to all manner of mischiefe","Dallington, Robert, ""APHORISME XXXV"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 47-8",STC 6197,Kept in order
14-2v,Pasion: Error Suspition: Jealousy,,"The first motion of our owne passions 
are not in our poure, but afterward
 they may bee brydeled by Reason",,,Source currently unknown,,
14-2v,Pasion: Error Suspition: Jealousy,,"Its most daungerous to giue way 
to Violent passions for they depriue 
the wisest, not only of ye vse of their 
owne vnderstanding; but so blynd 
them that they Cannot apprehend
 the benifit of their faithfullest 
friends Counsell",,"The distempered humor discouering it selfe in this letter; argueth both the depth of his set|led discontent, and the danger of giuing way [H] to vio|lent passions, which not onely depriue the wisest of the vse of their owne vnderstanding, but also blinde their eyes that they cannot see, nor apprehend the benefite of other mens faithfull counsels","Speed, John, ""The Earles Answere,"" The theatre of the empire of Great Britaine presenting an exact geography of the kingdomes of England, Scotland, Ireland, and the iles adioyning, (London 1612), p.878",STC 23041,
14-2v,Pasion: Error Suspition: Jealousy,,"It is a little Shame to haue Erred, 
But Great to Continew Erring",,"returne, and thinke it no shame to haue erred, iust shame to continue erring","Hall, Joseph, TO IACOB VVADSVVORTH lately reuolted, in Spaine. EPIST. I. Expostulating for his departure, and perswading his returne,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 275",STC 12635b ,
14-2v,Pasion: Error Suspition: Jealousy,,"There is no man liueing bee hee 
Neuer so wyse but he somtymes 
Ereth: for it is of Necessity that 
hee proue himselfe to bee but 
A Man",,"So is there no Prince liuing, be he neuer so wise, but he sometimes erreth; for it is of necessitie that he prooue himselfe to be but man.","Dallington, Robert, ""APHORISME VI Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 8",STC 6197,"Changed ""prince"" to ""man"""
14-3r,Error: Suspition: Jealousy: ,,"Stupidity and Sloath are the tow 
mayne fountains of Error & Vice
 and thos mynds that these streams 
Watter Can yeeld no better fruite 
then Ignoranc and Lust",,,Source currently unknown,,
14-3r,Error: Suspition: Jealousy: ,,"Loue is not Naturally Suspitious 
yet many tymes it Suggests 
Jealous feares of thos wee affect",,"I know not how two contrary qualities fall into loue; it is not naturally suspicious, and yet many times suggests iealous feares of those we affect","Hall, Joseph, ""The Altar of the Reubenites,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 899",STC 12635b ,
14-3r,Error: Suspition: Jealousy: ,,"Suspition & Jealousy if they be not 
Nipt in the bud bring forth 
much Sower fruit of Trouble 
and Danger",,"Such seeds of sedition, and weeds of warre, are Suspition and Iealousie. If they be not nipped in the bud, they bring forth much sower fruite, of trouble and danger","Dallington, Robert, ""APHORISME XIII,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 100",STC 6197,
14-3r,Error: Suspition: Jealousy: ,,"In Temperall good things its Good 
to liue in Doubt, not making full 
account of that which wee hold 
In so weake a Tenour",,"In temporall good things, it is best to liue in doubt; not making full account of that which wee hold in so weake a tenure","Hall, Joseph, ""41,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 142",STC 12635b ,
14-3v,Doubt: Suspition Jealousy,,"In the Schole of Art Doubt begets 
Knowledg: for hee that doubts much 
Askes often and learnes much",,,Source currently unknown,,"Found in Sir John Suckling,he coppy of a letter written to the Lower Hovse of Parliament touching divers grievances and inconveniences of the state &c (1641) The next thing that is required, is liberty of speech, without which Parliaments have little force or power; speeches begets doubts, and resolves them, and doubtes in Schooles get understanding, he that doubtes much asketh often, and learnes much, and he that feares the worst, soonest prevents a mischiefe."
14-3v,Doubt: Suspition Jealousy,,"Suspition many tymes breeds Cruelty 
and the Effects of Cruelty Com̄only 
stirs vp new Cause for Suspition",,"while suspition bred the mind of crueltie, and the effects of crueltie stirred a new cause of suspition","Sidney, Philip, ""The Second Booke,"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593) p. 70",STC 22540,
14-3v,Doubt: Suspition Jealousy,,"fauour oft makes vertue of Vices 
& Suspition makes Vertues faultes",,So fauour makes vertues of vices; and suspicion makes vertues faults,"Hall, Joseph, ""96,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 67",STC 12635b ,
14-3v,Doubt: Suspition Jealousy,,"A Good man is wary wthout Suspition 
and Charitable wthout Crudellity",,"so in all employments of friendship he is wary without suspicion, and without credulity charitable","Hall, Joseph, ""To the Gentlemen of his Highnesse Court. EP. X. A description of a good and faithfull Courtier,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 332",STC 12635b ,
14-3v,Doubt: Suspition Jealousy,,"Action haue not the Same face 
when wee looke vpon them wth 
Contrary affections",,Actions haue not the same face when we looke vpon them with contrary affections,"Hall, Joseph, ""HAMAN hanged. MORDECAI aduanced,"" Contemplations vpon the historicall part of the Old Testament, (London, 1626), p.537",STC 12659,
14-3v,Doubt: Suspition Jealousy,,"Good meanings Cannot be more 
Wronged then with Suspition",,"Good meanings cannot bee more wronged, then with suspition","Hall, Joseph, ""Of Ioseph,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 858",STC 12635b ,
14-4r,Doubt: Suspition Jealousy,,"Men Naturally haue such perfect
 memories of every wrong, that 
they writ them in Marble, 
as well thos that they offer as thos
 they Suffer, therfor the Guilt of 
haueing don a wrong, hath such 
Impresion In the Iniuror, as hee 
hardly ever after affieth in the 
party Iniured",,"Such perfect memories as these, men naturally haue of euery little wrong done vnto them. For benefites they write in dust, wronges in marble: as well those they offer, as those they suffer. Therefore the guilt of hauing done a wrong, hath such deepe impression in the iniurer, as he neuer after affieth in the party iniured","Dallington, Robert, ""APHORISME III,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 156",STC 6197,
14-4r,Doubt: Suspition Jealousy,,"whilst ye mynd is vncertain of succes 
it releiues it selfe wth ye possibility 
of Good, in doubts there is a 
Comfortable mixture",,"Whiles the mind is vncertaine of successe, it relieues it selfe with the possibilities of good: in doubts there is a comfortable mixture","Hall, Joseph, ""The death of SAVL,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 1116",STC 12635b ,
14-4r,Doubt: Suspition Jealousy,,"As Charity makes a Good Sence of 
doubtfull occurents, so preieduce
 and displeasur takes all things 
though well ment at worst",,"As charity makes a good sense of doubtfull occurrents, so preiudice and dis|pleasure takes all things (though well-meant) at the vvorst","Hall, Joseph, ""HAMAN hanged. MORDECAI aduanced,"" Contemplations vpon the historicall part of the Old Testament, (London, 1626), p.545",STC 12659,
14-4v,Doubt Suspition,,"too much Suspitiousnes is as great a fault 
and as great an Enimy to wisdom as to 
much Crudulitye, it doing often tymes 
as much hurtfull wronge to friends, 
as the other doth receiue wrongfull 
hurt from discemblers",,"And verily, though I hold in generall too much suspitiousnesse, as great a fault, and as great an enimie to vvisedom, as too much Incredulitie (it doing of|tentimes as great a vvrong to friends, as the other doth receive vvrongfull hurt from dissemblers","Sandys, Edwin, A relation of the state of religion and with what hopes and pollicies it hath beene framed, and is maintained in the severall states of these westerne parts of the world (London, 1605), p.16",STC 21716,
14-5r,Custom & Customs,,"force makes Natur more Violent 
In the Retourn: Doctrin and 
Discours makes Nature les Im=
portune, but Custom doth only 
after and Subdue Nature",,Force maketh Nature more violent in the Returne: Doctrine and Discourse ma∣keth Nature lesse Importune: But Cu∣stome onely doth alter and subdue Na∣ture,"Bacon, Francis, The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban, (London, 1625)",STC 1148,"Also found in Hearne, Richard, Ros coeli. Or, A miscellany of ejaculations, divine, morall, &c. Being an extract out of divers worthy authors, antient and moderne. Which may enrich the mean capacity, and adde somewhat to the most knowing iudgement (London 1640),  ""Force makes nature more violent in the returne, doctrine and dis∣course makes it lesse importu∣nate: only Custome doth al∣ter and subdue it"""
14-5r,Custom & Customs,,"Noe loue danger or disapline Can 
Sodainly after a habit in Nature",,"knowing no loue, daunger, nor discipline can sodainly alter an habite in nature.","Sidney, Philip, ""The Third Booke,"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593) p. 127",STC  22540,
14-5r,Custom & Customs,,"A mynd well trained and long 
exercised in Vertue doth not 
easily Chang any Course it once 
Vndertakes, but vpon well 
Grownded & well weighed Reasons",,"A minde well trained and long exercised in vertue (my sweete and worthy cosin) doth not easily chaunge any course it once vndertakes, but vpon well grounded and well wayed causes","Sidney, Philip, ""The Third Booke,"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593) p. 16",STC  22540,
14-5r,Custom & Customs,,"Custom of Succes makes men 
Confident in the Syn, and Causeth 
them & mistak an arbitray 
tenour for a perpetuity",,"Custome of successe, makes men confident in their sinnes, and causes them to mistake an arbitra|ry tenure for a perpetuity","Hall, Joseph, ""SAMSONS end,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 937",STC 12635b ,
14-5v,Custom & Customs,,"Its Good in our owne bussines 
to follow Reason and Custom 
but in Gods if wee haue any 
Guide but himselfe wee presume 
and Cannot expect a Blesing",,"It is good in our owne businesse to follow reason, or custome: but in Gods businesse, if we haue any other guide but himselfe, we presume, and cannot expect a blessing.","Hall, Joseph, ""HEROD and the Jnfants,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 1179",STC 12635b ,
14-5v,Custom & Customs,,"It is both Lawfull and Just in 
things not prohibited, to Conform 
our Selue to the maners & Rites 
of thos Cuntreis wherin wee liue",,"It is both lawfull and fit, in things not prohibited, to conforme our selues to the manners and rites of those with whom we liue","Hall, Joseph, ""SAMSONS Marriage,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 1179",STC 12635b ,
14-5v,Custom & Customs,,"Where necesity of vow or Com̄and 
doth not bynd its better out of 
loue & humility to Conform our 
selues to others in all Indiferent
 things then to doe what may 
seme best alone",,,Source currently unknown,,
14-6r,Custom & Customs,,"If it bee not Synfull that wee 
are Vrged vnto, it is for more 
profitable to Condesend to others 
weaknes, then to Stand to 
Rigorous in our owne Indea=
Vours of Greater perfection",,,Source currently unknown,,
14-7r,Pryd Boasting vaine Glory,,"
The Proud man hath noe God 
the Envious noe Neighbour 
the Angry man not himselfe", ,The proud man hath no God; the enuious man hath no neighbour; the angry man hath not himselfe,"Hall, Joseph, ""37,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p.54",STC 12635b ,
14-7r,Pryd Boasting vaine Glory,,"They that be Glorious must needs 
be factious, for all braueing stands 
Vpon Comparisons: they must 
needs be Violent to make Good 
their owne Vants",,"They that are Glorious, must needs be Factious; For all Brauery  stands vpon Comparisons. They must needs be Violent, to make good their owne Vaunts.","Bacon, Francis, ""Of Vaine-Glory. LIIII,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p.308",STC 1148,
14-7r,Pryd Boasting vaine Glory,,"Let no man applaud himselfe for 
thos Syns hee wants, but rather 
Condemn himselfe for thos he hath",,"Let no man applaud himselfe for those sinnes he wanteth, but condemne him|selfe rather for that sinne he hath","Hall, Joseph, ""10,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 137",STC 12635b ,
14-7r,Pryd Boasting vaine Glory,,"If ever men may Remember 
their owne Good deeds, it is when 
their Just defenc & others Vn=
Just Vnkindnes doth requier it",,"For if euer men may remember their owne noble deedes, it is then when their iuste defence, and other vniust vnkindenes doth require it","Sidney, Philip, ""The Fifth Booke,"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593) p. 239",STC 22540,
14-8v,A Discription of Anger,,"It proceids from foure Causes Couetiousnes: Selfe will: desier of Honour: Concert of a mans Selfe: It workes foure deadly efectsIn a mans Soule towards his Neighbour Hattred: Contempt: Enuy: Evill speach It hath 4 degrees in the workingfirst In the Heartthen In the faceAfter that in the TongueLast of all In the Actions
Let a man therfor first seeke himKill it in the Heart. but if it Rise vp forcibly there let him Restrayne it in ye Countenanc If hee Cannot doe that neither Let him Temper his Tongue, and most of all keepe it from performanc by deeds",,,Source currently unknown,,
14-9r,Wrath malice Envy Reveng,,"Wee Cannot entertaine wrath 
and not Giue place to ye Diuill",,"we cannot entertaine Wrath, and not giue place to the Deuill","Hall, Joseph, ""Of CAIN and ABEL,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 817",STC 12635b ,
14-9r,Wrath malice Envy Reveng,,"All passions and perturbations in 
mans mynd haue their Intentions 
and remissions. Increas & decreas 
Except only Mallitious Reueng
for this tho longer it lasteth the 
the Stronger it waxeth",,"So haue all passions and perturbations in mans minde, their intentions and remissions, increase and decrease, ex|cept onely malicious reuenge. For this, the longer it lasteth, the stron|ger it waxeth,","Dallington, Robert, ""APHORISME XXXVIII,"" : Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine, (London 1613), p.52",STC 16197,
14-9r,Wrath malice Envy Reveng,,"Nature in every man is both 
Iniurious and disdaynfull, and 
and never loues to honour an other 
but where it may be an honour
to it Selfe",,"Nature in euery man is both en|uious, and disdainfull, and neuer loues to honour another, but where it may be an honour to it selfe","Hall, Joseph, ""Of CORAH'S Conspiracie,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 920",STC 12635b ,
14-9r,Wrath malice Envy Reveng,,"A true Noble mynd doth cari it selfe 
in all Actions wth  such moderation 
and measur, yt it never hates his 
Eenimy so much in Regard of his 
wickednes, but that it loues what=
soever in him hath Resemblanc 
of Vertue",,"and the accomplishing of the better and noble mindes, in the high vertuousnesse thereof, doth carrie it selfe in all actions, with such moderation, and measure, as that it neither hate his enemie so much in re|gard of his wickednesse, but loves that whatsoever in him hath resemblance of vertue","Sandys, Edwin,  A relation of the state of religion and with what hopes and pollicies it hath beene framed, and is maintained in the severall states of these westerne parts of the world (London, 1605) p.41",STC 21716 ,
14-9v,Envy Mallice Reveng,,"Envi is blynd to all obiects saue
other mens happines, Missery 
is only free from Envy",,"Enuie is blind to all obiects, saue other mens happinesse","Hall, Joseph, ""IONATHANS Loue, and SAVLS Enuy,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 1087",STC 12635b ,"Collett’s second clause is not found, but is perhaps a paraphrasing of Hall’s paragraph:

Truth and Iustice are no protection against Malice; Enuie is blind to all obiects, saue other mens happinesse: If the eyes of men could bee contained within their owne bounds, and not roue forth into comparisons, there could be no place for this vicious affection; but when they haue once taken this lawlesse scope to themselues, they lose the knowledge of home, and care onely to be em∣ployed abroad in their owne torment. "
14-9v,Envy Mallice Reveng,,"As ye flaime Caries Smoke and 
the body his Shadow, so ye bright=
nes of Vertue never blazeth
 forth but it hath sein disdayn 
or envy waiting vpon it",,"na|ture of true vertue co~monly is suche, that as the flame euer beareth his smoke, and the body his shadow: foSingle illegible letter the bright+nes of vertue neuer blaseth, but hath some disdayne or en|uy wayting vpon it:","Foxe, John, Actes and monuments of matters most speciall and memorable, (1583), p.705",STC 11225,
14-9v,Envy Mallice Reveng,,"There was never Envy that was 
not bloody for if it eate not 
other mens hearts it will eate it owne",,"There was neuer enuy that was not bloody; for if it eate not an others heart, it will eat our owne","Hall, Joseph, ""Of Cain and ABEL,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 818",STC 12635b,
14-9v,Envy Mallice Reveng,,"Hee Certainly looseth all his 
owne Good, that thinks to 
Gayne by harming others",,,Source currently unknown,,
14-10v,Death,,"Sence Eternity is not in this 
world, what is to bee lost by a 
Short life but tyme, wch tyme
sence it hath his end. when 
that end is Come, all that is past 
is nothing: and by the protraction 
nothing Goten but labour & payne",,"Since then eternitie is not to be had in this coniunction, what is to be lost by the separation, but time? which since it hath his ende, when that is once come, all what is past is nothing: and by the protracting nothing gotten, but labour and care","Sidney, Philip, ""The Fifth Booke,"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593) p. 229",STC 22540,
14-10v,Death,,"Death will Com whethe we will 
or not, if will not be happi wth 
out our will and preperation",,"Our life, as it giues way to death, so must make way for it: It will be, though we will not: it will not bee happy, without our will, without our preparation","Hall, Joseph, ""To Sir ANDREW ASTELEY. EP. II. A discourse of our due preparation for death, and the meanes to sweeten it to vs,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 317",STC 12635b ,Jumbled wording
14-10v,Death,,"That mans end is Eaisy and
 Happi that death finds wth 
a weak body and a Strong Soule",,"that mans end is easie and happy, whom death findes with a weake bodie, and a strong soule","Hall, Joseph, ""27,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p.140",STC 12635b ,
14-10v,Death,,"To liue hollily is the way 
to Dy Saufly and Happily",,"To liue holily, is the way to die safely, happily.","Hall, Joseph, ""To Sir ANDREW ASTELEY. EP. II. A discourse of our due preparation for death, and the meanes to sweeten it to vs,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London 1625) p. 317",STC 12635b ,
15-2r,,,"Children Sweten labours, But 
make misfortun more Bitter
They Increas the Cares of life 
but medigat ye Remembranc 
of Death",,Children sweeten Labours; But they make Misfortunes more bitter: They increase the Cares of Life; but they mitigate the Remembrance of Death.,"Bacon, Francis, ""Of Parents and Children,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London 1625), p.32",STC 1148,
15-2r,,,"The hopes of Parents are Secret 
so are their Greifes and feares 
they Cannot vtter the one 
And they will not declare the 
other",,"The Ioyes of Parents are Secret; And so are their Griefes, and Feares: They cannot vt|ter the one; Nor they will not vtter the other","Bacon, Francis, ""Of Parents and Children,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London 1625), p.32",STC 1148,Changed the order of the passage
15-8r,,,"Remember first of all verteous Reader 
that it is high wisdom & Great 
perfection thy Selfe to know 
and then thy selfe to Dispise, 
thou must know that thou hast 
nothing of thy Selfe but of God,
for the Guifts of Natur and 
all of Temporall Guifts of 
this world, which he lawfully 
and truly obtayned, 
well Considered be Com to thee 
by the Infinit mercy & Goodnes 
of God, and not of thy Selfe, 
But in Espetiall is it Necessary 
for thee to know, that God of his 
Great Grace hath made thee 
his Imadge, haueing Regard to 
thy Memory vnderstanding 
and free Will

and that",,"REmember first of all (vertuous reder) that it is highe wisedome and great perfection, thy selfe to know, and then thy selfe to des|pyse. Thou must knowe that thou haste no thing that good is of thy selfe, but of god: For the gifts of na|ture, and al other temporal giftes of this world, which ben lawfully and truely obteined, wel considered, ben come to thee by the infinite good|nes and grace of God, & not of thy selfe. But in especial it is necessary for thee to knowe that God of his great grace hath made thee his I|mage, hauing regarde to thy me|mory, vnderstanding, and free wil, and that","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), p.2",STC  5549,
15-8r,,,"And that God is thy maker & thou 
his wretched Creatur, and that thou 
art Redemed of God by the passion 
of Christ Jesus: And that God is 
thy helper thy Refuge and deliverer 
from all Evill: and to Consider and 
knowe the Good order which God of 
his Infinit wisdome hath ordayned 
for thee to bee ordered by, 
as to haue these Temporall Goods 
for the Necessity of thy Body, 
thy Bodily and Sensuall appetits to 
be ordered by thy Soule, thy Soule 
to bee ordered by Reason & Grace
to know thy duty to God & thy Neighbor
And by all Common Reason, if thou 
Keepe this Convement order to God 
and his Creaturs, they shall keepe 
their order to thee

but if",,"and that God is thy maker, & thou his wretched creature, & that thou art redeemed of God by the passion of Christ Iesu, and that God is thy helper, thy refuge, and thy deliuerer from all euyl, and to consider and knowe the goodly order which god of his infinite wisedome hath or|deyned thee to be ordered by. As to haue these temporal goodes for the necessitie of thy body: the body and sensual appetites to be ordered by thy soule: thy soule to be ordred by reason and grace: by reason and grace to knowe thy duetie to God and to thy neighbour, & by all com|mon reason if thou kepe this conue|nient order to god & his creatures, they shal kepe their order to thee:
But if","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), pp.2-3",STC  5549,
16-1r,,,"But if thou breake thy order to them
they shall breake their order to thee, 
for how shall thy wife Children 
Servants and other Creaturs with 
whome thou hast doings doe their 
Duty and keepe their order to thee
if thou dost not so to God and to them 
and also thinke thou of a Surty 
that if thy Sensuall appetites bee 
not ordered by Reason and Grace 
thou art worse ordered then a Beast 
which is a great Shame & Rebuke 
to thee a Reasonable Creature, 
And without the Great mercy of
God it shall bee to thy Eternall 
Damnation, therfore thinke and 
thanke God, and vtterly dispise 
thy Selfe, and thinke thy selfe [scribbled] 
wretched, in that God hath done

so much",,"But if thou breake thine order to them, of likelyhood they shal breake their order to thee. For how should thy wife, children, seruauntes, and other creatures, with the whiche thou hast dooings, doo their dutie, and kepe their order to thee, if thou doest not so to God and to them? And also thinke thou of a suretie, that if thy sensuall appetite be not ordred by reason & grace, thou art worse ordred than a beast: for then thou liuest out of order, and so doth not a beast, which is a great shame and rebuke to thee a reasonable creature, and without the great mercy of god, it shalbe to thine eter|nal damnation. And therfore think and thanke God, and vtterly des|pise thy selfe, and thinke thy selfe a great wretch, in that god hath done so muche","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), pp.2-3",STC  5549,Skipped pages
16-1v,,,"So much for thee and thou hast so 
often offended his highnes, and also
done him so little Service, Surly 
it is also Great wisdom to thinke 
that if it had pleased God to haue 
Given to all other Men as well 
Begers as others like Grace as hee 
hath giuen to thee, they would 
haue Served his Goodnes better then 
thy selfe hath done, Wherefore 
think thy selfe a wretch of all wretches 
Accept the mercy of God therefore 
and by his Infinit mercy and Grace 
Call to Remembrance the degree and 
Dignity wch Allmighty God of his
Goodnes hath Called the vnto, and 
Accordingly thervnto yeald thy 
Debtt and doe thy Duty",,"so muche for thee, and thou hast so oft offended his highnesse, and also done him so little seruice. Surely it is also great wisedome to thinke, that if it had pleased god for to haue giuen to all other men (aswel beg|gers as other) like grace as he hath giuen to thee, that they would haue serued his goodnes better than thy selfe hast done: Wherfore thinke thy selfe a wretch of al wretches, except the mercy of God: And therfore by his infinite mercy and grace, call vnto thy remembraunce the degree or dignitie whiche almightie God of his goodnes hath called thee vn|to, and according therevnto yelde thy debt, and doo thy duetie.","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), pp.3-4",STC  5549,
16-2r,,,"first and principally honour God 
as thy maker, loue him as thy Redemer 
feare him as thy Judg, Secondarily 
thy Neighbour wch is thy Superior 
obey: haue peace and Concord wth 
them that be even wth thee in degree, 
haue mercy and pitty on thy Inferiors 
Thirdly prouid thee to haue a Clean 
heart and a good Custody of thy tongue 
pray and take Labour by Grace 
to haue wisdom and Cuning to doe 
thy duty to God and thy Neighbour 
and in all thy words and deedes 
haue euer in mynd that God and 
his Angels heareth and seeth all things 
And that there is nothing so pri=
vily done but it shall be made 
open, And in Epsetiall",,"First and principally, honour God as thy maker, loue him as thy redeemer, feare him as thy iudge. Secondarily, thy neighbour which is thy superiour, obey: Haue con|corde and peace with them which be euen with thee in degree: & haue mercy and pitie on thine inferiours. Thirdly, prouide thee to haue a cleane hart, and a good custodie of thy tong. Pray and take labour, by grace to haue wisedome & cunning to do thy duety to God and to thy neighbour. And in all thy words & dedes haue euer in minde, that god and his angels heareth and seeth e|uery thing, and that nothing is so priuily done, but it shal be made o|pen. And in especial","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), p.4",STC  5549,"tag line ""And in espetiall"" seems to be a mistake (it does not show up in the book or in the next page of Susanna's work)"
16-2v,,,"Haue in mynd that thou shalt 
dy Shortly, and how Christ died
for thee, the Subtly and falsnes of 
this Temporall worlde the Joyes of 
heaven the paynes of Hell, 
And every morning among other 
thy meditations and prayers, pray 
Vnto thy Lord God, that the day 
following, thou according to ye degree 
wch hee of his Infinit mercy and 
Goodnes hath Called thee vnto, mast 
Vse this Temporall and wretched world
 In thy thoughts words and deedes 
that by them and the merites of 
Christs passion thou maste eschew 
the paynes of Hell and Cometh the 
Joyes everlasting, and in Execution 
thereof keepe truth in words & deeds",,"haue in minde that thou shalt dye shortly, & howe Christ died for thee, the subtiltie and falsenes of this temporal world, the ioyes of heauen, and the paynes of hell. And euery morning, among o|ther thy meditations and prayers, pray vnto thy Lorde God, that the day folowing, thou (according to the degree which he of his infinite goodnes and mercy hath called thee vnto) mayst vse this temporall wretched world in thy thoughtes, words, and deedes, that by them and the merite of Christes passion, thou mayst eschewe the paynes of hel, and come to the ioy euerlasting. And in executing thereof kepe truth in wordes and deedes.","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), pp.4-5",STC  5549,
16-3r,,,"Defend noe man nor matter against 
the truth, In all things thinke and 
trust in God, and hee shall direct 
thy way, trust not to thyne owne 
witt, but feare God and hee will 
keepe thee from Evill, if thou trust 
more to thyne owne witt then to 
the Grace of God thy pollicy shall 
Soone bee Subuerted, be Content 
to heare Good though it bee Contrary 
to thy will, for hee is a very foole 
that will heare nothing Gladly but that
 wch is according to his mynd, Doe 
thou noe man harme, least thou 
Suffer ye Same, as yu wouldest be done
 Vnto so doe thou to others, be such to others 
as thou desirest they should bee 
to thee",,"Defende no man, nor no matter, agaynst the trueth. In all thinges thinke and trust in God, and he shal direct thy wayes. Trust not to thine owne witte, but feare God, and he wyl keepe thee from euyl. If thou trust more in thine owne witte than in the grace of God, thy policie shall be soone subuerted. Be content to heare good counsayle, though it be contrary to thy will: For he is a very foole that will heare nothing gladly, but that is according to his mind. Do thou no man harme, least thou sufferest the same. As thou wouldest be done vnto, so do thou vnto other. Be suche to other, as thou desirest they shoulde be to thee","Colet, John, A right fruitfull admonition, concerning the order of a good Christian mans life very profitable for all maner of estates, and other to beholde and looke vppon (London 1577), p.5",STC  5549,
